SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,INE216A01030
BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,INE727S01012
BROOKS,Brooks Laboratories Limited,EQ,05-SEP-2011,INE650L01011
BSE,BSE Limited,EQ,03-FEB-2017,INE118H01025
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-OCT-2020,INE032Z01020
BSL,BSL Limited,EQ,27-JUL-1995,INE594B01012
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,INE836A01035
BTML,Bodhi Tree Multimedia Limited,EQ,15-FEB-2023,INE0EEJ01023
BUILDPRO,Shankara Buildpro Limited,EQ,09-JAN-2026,INE24OJ01011
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,INE295F01017
BVCL,Barak Valley Cements Limited,EQ,23-NOV-2007,INE139I01011
BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,INE319B01014
CALSOFT,California Software Company Limited,EQ,28-JUN-2000,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,INE052I01032
CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,INE278Y01022
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,INE596I01020
CANBK,Canara Bank,EQ,23-DEC-2002,INE476A01022
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-OCT-2025,INE01TY01017
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,INE264T01014
CAPILLARY,Capillary Technologies India Limited,EQ,21-NOV-2025,INE0ILV01024
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-FEB-2024,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,INE475E01026
CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,INE707C01018
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,INE120A01034
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,INE752H01013
CARRARO,Carraro India Limited,EQ,30-DEC-2024,INE0V7W01012
CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,INE290S01011
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,INE482D01024
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,INE172A01027
CCAVENUE,AvenuesAI Limited,EQ,04-APR-2016,INE483S01020
CCCL,Consolidated Construction Consortium Limited,EQ,15-OCT-2007,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-FEB-2015,INE652F01027
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,INE421D01022
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,INE736A01011
CEATLTD,CEAT Limited,EQ,01-FEB-2008,INE482A01020
CEIGALL,Ceigall India Limited,EQ,08-AUG-2024,INE0AG901020
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,INE185H01016
CELLO,Cello World Limited,EQ,06-NOV-2023,INE0LMW01024
CEMPRO,Cemindia Projects Limited,EQ,10-FEB-1999,INE686A01026
CENTENKA,Century Enka Limited,EQ,10-MAY-1995,INE485A01015
CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,INE281A01026
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,INE483A01010
CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,INE660C01027
CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,INE348B01021
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,BZ,26-JUN-2013,INE345B01019
CESC,CESC Limited,EQ,08-FEB-1995,INE486A01021
CEWATER,Concord Enviro Systems Limited,EQ,27-DEC-2024,INE037Z01029
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,INE067A01029
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,INE085A01013
CHEMBOND,Chembond Material Technologies Limited,EQ,20-NOV-2019,INE995D01025
CHEMBONDCH,Chembond Chemicals Limited,EQ,23-JUL-2025,INE0TGX01019
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,INE03YM01018
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,INE783X01023
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,INE178A01016
CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,INE974B01016
CHOICEIN,Choice International Limited,EQ,08-APR-2022,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,INE149A01033
CIEINDIA,CIE Automotive India Limited,EQ,30-AUG-2007,INE536H01010
CIFL,Capital India Finance Limited,EQ,17-APR-2025,INE345H01024
CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,INE675C01017
CINELINE,Cineline India Limited,EQ,13-JUN-2012,INE704H01022
CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,INE039B01026
CIPLA,Cipla Limited,EQ,08-FEB-1995,INE059A01026
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,INE227W01023
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,INE201M01029
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,INE419D01026
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,INE925R01014
CNL,Creative Newtech Limited,EQ,05-AUG-2019,INE985W01018
COALINDIA,Coal India Limited,EQ,04-NOV-2010,INE522F01014
COASTCORP,Coastal Corporation Limited,BE,08-OCT-2021,INE377E01024
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,INE704P01025
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,INE335K01011
COFORGE,Coforge Limited,EQ,30-AUG-2004,INE591G01025
COHANCE,Cohance Lifesciences Limited,EQ,09-MAR-2020,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,INE259A01022
COMPINFO,Compuage Infocom Limited,BZ,07-JUL-2016,INE070C01037
COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,INE453B01029
COMSYN,Commercial Syn Bags Limited,BE,23-JAN-2024,INE073V01015
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,INE111A01025
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,INE338H01029
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,INE552D01024
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,INE025A01027
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,INE558D01021
CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,INE792I01017
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,INE169A01031
CORONA,CORONA Remedies Limited,EQ,15-DEC-2025,INE02ZQ01018
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,INE757A01017
COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,INE695B01025
CPCAP,CP Capital Limited,EQ,06-OCT-2010,INE521J01018
CPEDU,Career Point Edutech Limited,EQ,05-SEP-2025,INE0P6P01016
CPPLUS,Aditya Infotech Limited,EQ,05-AUG-2025,INE819V01029
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,INE00LO01017
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-OCT-2025,INE218I01013
CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,INE741K01010
CREST,Crest Ventures Limited,EQ,27-DEC-2006,INE559D01011
CRISIL,CRISIL Limited,EQ,28-JUN-1995,INE007A01025
CRIZAC,Crizac Limited,EQ,09-JUL-2025,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,INE299U01018
CROWN,Crown Lifters Limited,EQ,08-FEB-2022,INE491V01019
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,INE679A01013
CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,INE718F01018
CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,INE627H01017
CUB,City Union Bank Limited,EQ,25-AUG-1998,INE491A01021
CUBEXTUB,Cubex Tubings Limited,EQ,24-APR-1996,INE144D01012
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,INE298A01020
CUPID,Cupid Limited,EQ,16-SEP-2016,INE509F01029
CURAA,Cura Technologies Limited,BE,21-MAR-2025,INE117B01020
CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,INE278G01037
CYBERTECH,Cybertech Systems And Software Limited,EQ,27-JAN-1999,INE214A01019
CYIENT,Cyient Limited,EQ,30-SEP-1998,INE136B01020
CYIENTDLM,Cyient DLM Limited,EQ,10-JUL-2023,INE055S01018
DABUR,Dabur India Limited,EQ,28-APR-1999,INE016A01026
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,INE495A01022
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-DEC-2024,INE284H01025
DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,INE497D01022
DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,INE688Y01022
DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,INE365B01017
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,INE0IX101010
DAVANGERE,Davangere Sugar Company Limited,EQ,25-JAN-2024,INE179G01029
DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,INE950I01011
DBEIL,Deepak Builders & Engineers India Limited,EQ,28-OCT-2024,INE0OPA01019
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,INE917M01012
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,INE0I3401014
DBREALTY,Valor Estate Limited,EQ,24-FEB-2010,INE879I01012
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,INE921B01025
DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,INE385W01011
DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,INE503A01015
DCI,Dc Infotech And Communication Limited,EQ,19-OCT-2022,INE0A1101019
DCM,DCM  Limited,EQ,29-MAR-1995,INE498A01018
DCMFINSERV,DCM Financial Services Limited,EQ,21-MAY-1997,INE891B01012
DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,INE08KP01019
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,INE499A01024
DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,INE843D01027
DCW,DCW Limited,EQ,25-MAY-1995,INE500A01029
DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,INE0KL801015
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-JAN-2025,INE0HR601026
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,INE583C01021
DEEDEV,DEE Development Engineers Limited,EQ,26-JUN-2024,INE841L01016
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,INE501A01019
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,INE288B01029
DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,INE0FHS01024
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,INE148O01028
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,INE726L01019
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,INE124G01033
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,INE393A01011
DEN,Den Networks Limited,EQ,24-NOV-2009,INE947J01015
DENORA,De Nora India Limited,EQ,07-AUG-1997,INE244A01016
DENTA,Denta Water and Infra Solutions Limited,EQ,29-JAN-2025,INE0R4L01018
DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,INE060X01034
DEVX,Dev Accelerator Limited,EQ,17-SEP-2025,INE0VOV01021
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,INE872J01023
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,INE03JI01017
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,INE041A01016
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,INE680A01011
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,INE435G01025
DHARAN,DHARAN INFRA-EPC LIMITED,BZ,02-APR-2018,INE278R01034
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,INE00OQ01016
DHRUV,Dhruv Consultancy Services Limited,EQ,25-NOV-2021,INE506Z01015
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,INE320L01011
DIACABS,Diamond Power Infrastructure Limited,EQ,15-SEP-2023,INE989C01038
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-SEP-2023,INE591D01014
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,INE393P01035
DICIND,DIC India Limited,EQ,30-AUG-1995,INE303A01010
DIFFNKG,Diffusion Engineers Limited,EQ,04-OCT-2024,INE184O01015
DIGIDRIVE,Digidrive Distributors Limited,EQ,10-JAN-2024,INE0PSC01024
DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,INE927C01020
DIGITIDE,Digitide Solutions Limited,EQ,11-JUN-2025,INE0U4701011
DIGJAMLMTD,Digjam Limited,EQ,18-OCT-2021,INE731U01028
DISHTV,Dish TV India Limited,EQ,18-APR-2007,INE836F01026
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023,INE753U01022
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,INE361B01024
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,INE935N01020
DJML,DJ Mediaprint & Logistics Limited,BE,05-DEC-2022,INE0B1K01014
DLF,DLF Limited,EQ,05-JUL-2007,INE271C01023
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,INE250K01012
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,INE192R01011
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,INE505A01010
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,INE016M01021
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,INE021O01019
DOLATALGO,Dolat Algotech Limited,EQ,12-JAN-2024,INE966A01022
DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,INE325C01035
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,21-AUG-2023,INE920A01037
DOMS,DOMS Industries Limited,EQ,20-DEC-2023,INE321T01012
DONEAR,Donear Industries Limited,EQ,20-DEC-2006,INE668D01028
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020,INE266Y01019
DPSCLTD,DPSC Limited,EQ,21-APR-2008,INE360C01024
DPWIRES,D P Wires Limited,EQ,17-JAN-2020,INE864X01013
DRCSYSTEMS,DRC Systems India Limited,EQ,10-MAR-2021,INE03RS01027
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,INE0JS101016
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,INE506A01018
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,INE089A01031
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,INE417B01040
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,INE341R01014
DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,INE741L01018
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,INE477B01010
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,INE366A01041
DYCL,Dynamic Cables Limited,EQ,27-JUL-2022,INE600Y01019
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,INE221B01012
DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,INE256H01015
E2E,E2E Networks Limited,EQ,12-APR-2022,INE255Z01019
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,INE07O001026
EASTSILK,Eastern Silk Industries Limited,BE,03-JUL-1996,INE962C01035
EBGNG,GNG Electronics Limited,EQ,30-JUL-2025,INE18JU01028
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,INE738I01010
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,04-SEP-2024,INE06HJ01020
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,INE532F01054
EFCIL,EFC (I) Limited,EQ,20-AUG-2025,INE886D01026
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,INE066A01021
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,INE126A01031
EIEL,Enviro Infra Engineers Limited,EQ,29-NOV-2024,INE0LLY01014
EIFFL,Euro India Fresh Foods Limited,EQ,12-OCT-2021,INE546V01010
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,INE276C01014
EIHOTEL,EIH Limited,EQ,08-FEB-1995,INE230A01023
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,INE158B01016
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,INE184H01027
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,INE668G01021
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,INE205B01031
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,INE086A01029
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,INE822G01016
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,INE285A01027
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,INE819L01012
ELIN,Elin Electronics Limited,EQ,30-DEC-2022,INE050401020
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-JUL-2025,INE236E01022
EMAMILTD,Emami Limited,EQ,03-AUG-2006,INE548C01032
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,INE830C01026
EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,INE778K01012
EMBDL,Embassy Developments Limited,BE,23-MAR-2007,INE069I01010
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-JUL-2024,INE168P01015
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,INE02YR01019
EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006,INE296H01011
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,INE753K01015
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-NOV-2025,INE1C6T01020
EMSLIMITED,EMS Limited,EQ,21-SEP-2023,INE0OV601013
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,INE01QM01018
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,INE913H01037
ENERGYDEV,Energy Development Company Limited,BE,02-NOV-2007,INE306C01019
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,INE510A01028
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,INE265F01028
ENRIN,Siemens Energy India Limited,EQ,19-JUN-2025,INE1NPP01017
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,INE010601016
EPACK,EPACK Durable Limited,EQ,30-JAN-2024,INE0G5901015
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-OCT-2025,INE0MLS01022
EPIGRAL,Epigral Limited,EQ,18-AUG-2021,INE071N01016
EPL,EPL Limited,EQ,11-FEB-2002,INE255A01020
EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,INE217G01035
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,INE063P01018
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,INE406M01024
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,INE284A01012
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-NOV-2023,INE818W01011
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,INE042A01014
ESSARSHPNG,Essar Shipping Limited,EQ,15-NOV-2011,INE122M01019
ESSENTIA,Integra Essentia Limited,EQ,20-AUG-2013,INE418N01035
ESTER,Ester Industries Limited,EQ,20-JUN-2011,INE778B01029
ETERNAL,ETERNAL LIMITED,EQ,23-JUL-2021,INE758T01015
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,INE04TZ01018
EUREKAFORB,Eureka Forbes Limited,EQ,11-SEP-2024,INE0KCE01017
EUROBOND,Euro Panel Products Limited,EQ,01-AUG-2025,INE505V01016
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-SEP-2025,INE198501012
EUROTEXIND,Eurotex Industries and Exports Limited,BE,31-JAN-1996,INE022C01012
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,INE128A01029
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,INE295A01018
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,INE688J01023
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,INE369A01029
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-NOV-2025,INE606N01019
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024,INE777F01014
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,INE302A01020
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,INE201K01015
EXXARO,Exxaro Tiles Limited,BE,16-AUG-2021,INE0GFE01026
FABTECH,Fabtech Technologies Limited,EQ,07-OCT-2025,INE0HF201011
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,INE188A01015
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,INE0DNW01011
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,INE963C01033
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,INE045J01034
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,INE512B01022
FDC,FDC Limited,EQ,07-AUG-1997,INE258B01022
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,INE171A01029
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,INE007N01010
FEL,Future Enterprises Limited,BZ,05-NOV-2001,INE623B01027
FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,IN9623B01058
FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,INE296C01020
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,INE737H01014
FILATEX,Filatex India Limited,EQ,29-AUG-2011,INE816B01035
FILATFASH,Filatex Fashions Limited,EQ,06-MAY-2024,INE185E01021
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,INE235A01022
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,INE686Y01026
FINKURVE,Finkurve Financial Services Limited,EQ,01-OCT-2025,INE734I01027
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,INE02NC01014
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,INE183A01024
FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024,INE02RE01045
FISCHER,Fischer Medical Ventures Limited,EQ,10-JUL-2025,INE771F01041
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,INE128S01021
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,INE00Y201027
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-OCT-2011,INE060J01017
FLFL,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,INE452O01016
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,INE09N301011
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,INE529A01010
FMNL,Future Market Networks Limited,EQ,31-DEC-2010,INE360L01017
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,INE593W01028
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,INE976E01023
FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024,INE451A01017
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,INE061F01013
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,INE519A01011
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,INE684F01012
FUSION,Fusion Finance Limited,EQ,15-NOV-2022,INE139R01012
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,INE524A01029
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,INE036B01030
GAIL,GAIL (India) Limited,EQ,02-APR-1997,INE129A01019
GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024,INE0RE001014
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,INE600K01018
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,INE297H01019
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,INE717W01049
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,INE524B01027
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,INE845D01014
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,INE388A01029
GANESHCP,Ganesh Consumer Products Limited,EQ,29-SEP-2025,INE652V01016
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-MAR-2007,INE460C01014
GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,INE691Z01023
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,INE335W01016
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,INE276A01018
GARUDA,Garuda Construction and Engineering Limited,EQ,15-OCT-2024,INE0JVO01026
GATECH,GACM Technologies Limited,EQ,25-JUL-2016,INE224E01028
GATECHDVR,GACM Technologies Limited,EQ,10-OCT-2017,INE224E01036
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,INE079J01017
GAYAHWS,Gayatri Highways Limited,EQ,28-JUN-2018,INE287Z01012
GCSL,Gretex Corporate Services Limited,BE,04-SEP-2025,INE199P01028
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,INE916G01016
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,INE669X01032
GEMAROMA,Gem Aromatics Limited,EQ,26-AUG-2025,INE06XZ01023
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,INE854S01022
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,INE727B01026
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,INE949P01018
GENUSPOWER,Genus Power Infrastructures Limited,BE,08-JUL-2005,INE955D01029
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,INE007B01023
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,INE017A01032
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,INE538A01037
GHCL,GHCL Limited,EQ,31-JUL-2003,INE539A01019
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023,INE0PA801013
