SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,INE758C01029
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,INE206F01022
AIRAN,Airan Limited,EQ,03-MAY-2019,INE645W01026
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,INE031B01049
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,INE298G01035
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,INE820Y01021
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,INE737W01013
AKG,Akg Exim Limited,EQ,16-FEB-2021,INE00Y801016
AKI,AKI India Limited,EQ,06-APR-2023,INE642Z01026
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,INE256Z01025
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,INE09XN01023
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,INE133A01011
ALANKIT,Alankit Limited,EQ,30-JUN-2015,INE914E01040
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,INE155C01010
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,INE426A01027
ALGOQUANT,Algoquant Fintech Limited,EQ,06-JAN-2026,INE598D01035
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,INE062D01024
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,INE03Q201024
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,INE773I01017
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,INE150B01039
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,INE418H01029
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,INE835G01018
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,INE326B01035
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,INE270A01029
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,INE385I01010
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,INE137C01018
AMAGI,Amagi Media Labs Limited,EQ,21-JAN-2026,INE121R01077
AMANTA,Amanta Healthcare Limited,EQ,09-SEP-2025,INE084K01015
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,INE540G01014
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,INE079A01024
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,INE005I01014
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,INE606A01024
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,INE275D01022
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,INE463V01026
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,INE715B01021
ANGELONE,Angel One Limited,EQ,05-OCT-2020,INE732I01013
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,INE087B01017
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,INE106I01010
ANMOL,Anmol India Limited,EQ,04-JUN-2021,INE02AR01019
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,INE436A01026
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,INE818A01017
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,INE414B01021
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,INE0CZ201020
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,INE489G01022
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,INE294Z01018
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,INE930P01018
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,INE372A01015
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,INE071F01012
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,INE116A01032
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,INE901L01018
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,INE451F01024
APTECHT,Aptech Limited,EQ,27-SEP-2002,INE266F01018
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,INE852O01025
AQYLON,Aqylon Nexus Limited,BE,01-APR-2024,INE416A01044
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,INE877I01016
ARCHIES,Archies Limited,EQ,02-SEP-1998,INE731A01020
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,INE885A01032
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,INE610C01014
ARFIN,Arfin India Limited,EQ,22-JUL-2025,INE784R01023
